Date,Open,High,Low,Close
5/5/2011,261.5,264.29,258.7,260.24
5/6/2011,260.3,266.35,260.3,264.99
5/9/2011,265.7,266.49,260.2,262.33
5/10/2011,262.06,263.9,260.9,262.7
5/11/2011,263.74,268.87,261.2,267.5
5/12/2011,265.9,267.98,263.1,264.14
5/13/2011,264.44,268,261.51,264.96
5/16/2011,264,265.72,261.01,261.63
5/17/2011,262.31,262.68,240.1,241.47
5/18/2011,238,239.79,232.85,235.57
5/19/2011,236.44,237.87,231.26,232.23
5/20/2011,231.2,235.91,231.04,232.04
5/23/2011,231.4,231.4,223.82,224.98
5/24/2011,225,226.79,221.6,222.21
5/25/2011,221.8,222.98,216.5,217.79
5/26/2011,218.47,221.27,216.74,218.83
5/27/2011,220.37,224.23,220.1,223.46
5/30/2011,224.19,225.4,221.5,223.73
5/31/2011,225.2,230.42,224.81,229.79
6/1/2011,230.88,233.7,230.1,232.92
6/2/2011,230.8,234.98,229.4,233.42
6/3/2011,233.47,235.6,230.1,231.25
6/6/2011,230.3,232.19,227.24,231.71
6/7/2011,231.34,233.67,230.51,232.01
6/8/2011,231.4,232.3,228.61,229.49
6/9/2011,229.49,230.93,225.57,226.35
6/10/2011,226.98,227.49,222.53,224.29
6/13/2011,223.9,224.2,221,221.99
6/14/2011,223.1,224.65,222.07,223.02
6/15/2011,223.35,223.57,217.57,218.25
6/16/2011,217.16,222.51,216.13,220.54
6/17/2011,222,222.13,218.88,221.31
6/20/2011,222,222.18,212.01,218.02
6/21/2011,218.8,220.99,214.12,214.85
6/22/2011,216.18,216.46,212.32,214.05
6/23/2011,213.65,216.99,213.6,216.13
6/24/2011,217.7,229.81,217.36,228.61
6/27/2011,227.5,232.98,226.2,232.6
6/28/2011,233.11,234.92,231.99,234.11
6/29/2011,235.2,238.64,234.51,237.96
6/30/2011,238.8,243.3,238.8,240.46
7/1/2011,241.85,242.95,238.4,242.03
7/4/2011,244.54,244.9,242.2,243.61
7/5/2011,243.9,247.84,240.95,247.33
7/6/2011,247,247.73,243.65,244.38
7/7/2011,244.6,248.74,243.01,248.29
7/8/2011,248.13,251.5,245.79,247.85
7/11/2011,246.98,246.98,242.1,243.51
7/12/2011,240.4,242.5,238.43,240.01
7/13/2011,241.47,244.15,241.2,243.11
7/14/2011,242.3,248.93,241.3,246.71
7/15/2011,246.5,249.9,246.5,247.49
7/18/2011,247.34,248.38,245.35,247.68
7/19/2011,246.98,251.7,246.6,251.26
7/20/2011,252.4,252.87,246.05,247.14
7/21/2011,247.3,247.95,244.4,245.5
7/22/2011,247,250.7,246.01,249.84
7/25/2011,249.25,252.5,247.23,251.27
7/26/2011,251.8,252.97,242.9,244.6
7/27/2011,244.39,244.48,238.05,240.49
7/28/2011,237.55,239.5,234.51,235.66
7/29/2011,235.8,237.6,233.47,234.48
8/1/2011,236.51,238.3,232.66,234.51
8/2/2011,233.64,233.85,226.85,227.71
8/3/2011,225,228.77,224.85,227.87
8/4/2011,228.89,231,225.23,225.77
8/5/2011,220.5,224.4,218.05,223.49
8/8/2011,218.89,226.52,218,221.7
8/9/2011,216.5,228.9,215.75,222.22
8/10/2011,227.5,228.69,225.4,227.21
8/11/2011,226.5,228.33,224.1,224.63
8/12/2011,227.79,227.8,215,219.7
8/16/2011,218,224.75,216.54,219.7
8/17/2011,220.5,223.34,216.32,217.02
8/18/2011,218.4,218.5,207.01,207.84
8/19/2011,205,210.9,202.63,203.75
8/22/2011,204.58,207.49,200.7,206.2
8/23/2011,207.87,208.2,203.71,206.37
8/24/2011,206.68,208.1,197.81,198.98
8/25/2011,200,200.95,195.15,195.98
8/26/2011,196.4,197.24,186.66,188.79
8/29/2011,192.5,195,191.16,193.86
8/30/2011,197.47,198.38,192.26,197.38
9/2/2011,199.1,202.1,196.01,199.35
9/5/2011,197.29,201.6,196.2,200.65
9/6/2011,199.35,199.7,193.22,197.97
9/7/2011,198.34,204.26,198.32,202.77
9/8/2011,203.67,204,201.11,202.38
9/9/2011,203,204.79,194,195.27
9/12/2011,193.1,193.1,185.54,186.34
9/13/2011,188,189.95,181.8,183.29
9/14/2011,183.8,185.36,180.85,182.68
9/15/2011,184.78,190.48,183,189.8
9/16/2011,191.35,195.9,188.01,194.56
9/19/2011,192.85,193.25,190.51,191.7
9/20/2011,191.6,199.99,190.2,199.07
9/21/2011,199.5,202.4,199.07,200.96
9/22/2011,196.23,197.39,193,193.76
9/23/2011,191.1,198.19,189,195.02
9/26/2011,195.21,197.1,192.18,195.13
9/27/2011,198.51,200.68,197.76,199.73
9/28/2011,201,201.27,196.1,196.93
9/29/2011,195.6,196.18,191.16,195.24
9/30/2011,193.47,193.87,190.54,191.1
10/3/2011,188.21,188.5,185.1,186.16
10/4/2011,185,187.28,175,178.72
10/5/2011,180.01,181.22,171,171.84
10/7/2011,176.3,177.79,174.26,175.23
10/10/2011,175.99,176.49,172.22,175.6
10/11/2011,177.68,180.6,175.35,176.46
10/12/2011,178.02,188,175.73,187.21
10/13/2011,188.1,193.4,187.5,188.74
10/14/2011,187.1,190.65,186.93,188.52
10/17/2011,190.4,193.3,188.32,189.17
10/18/2011,186.99,188.56,183.8,186.65
10/19/2011,188.79,192.35,188.6,191.84
10/20/2011,189.2,194,188.67,193.51
10/21/2011,194.14,196.74,193.62,194.82
10/24/2011,197.5,198.9,188.57,190.88
10/25/2011,191.98,196,182.7,183.98
10/28/2011,192.5,192.91,189.02,190.98
10/31/2011,191.89,192.18,187.8,190.63
11/1/2011,189.25,192.1,188.6,190.14
11/2/2011,188.7,192.48,188.5,190.94
11/3/2011,190.5,194,190.35,193.48
11/4/2011,196.45,198.09,195.3,196.62
11/8/2011,197.7,200.4,196,199.73
11/9/2011,201.3,201.75,185.22,186.21
11/11/2011,186.18,186.49,178.13,179.84
11/14/2011,182.6,182.7,174.04,175.31
11/15/2011,174.5,176.37,171.83,172.96
11/16/2011,172.8,178,171.81,176.6
11/17/2011,176.37,179.88,174.65,175.74
11/18/2011,175.01,176.6,170.33,172.66
11/21/2011,172.3,172.45,165.46,167.22
11/22/2011,168.14,170.9,166.53,168.95
11/23/2011,167.4,167.4,162.73,165.52
11/24/2011,165.6,166.84,162.9,165.39
11/25/2011,164.9,169.9,163.5,169.06
11/28/2011,172.1,178.79,171.12,177.96
11/29/2011,178.8,179.7,174.71,176.12
11/30/2011,174.97,179.5,172.8,176.24
12/1/2011,181.6,185.27,181,182.41
12/2/2011,182.45,189.9,180.18,188.68
12/5/2011,188.47,191.7,187,191.1
12/7/2011,191.47,195.99,191.4,194.54
12/8/2011,193,193.38,186,186.79
12/9/2011,183.02,188.49,182,186.55
12/12/2011,188.27,189.66,176.3,177.27
12/13/2011,175.8,180.79,174.66,178.79
12/14/2011,178.4,183.99,177.1,178.51
12/15/2011,175.65,177.2,172.65,173.68
12/16/2011,175.2,178.23,166.51,167.91
12/19/2011,166.5,166.5,159.68,162.81
12/20/2011,163.2,164.9,157.11,157.85
12/21/2011,161.49,163.5,159.54,162.35
12/22/2011,161,167.9,158.82,167.11
12/23/2011,167.5,169.18,163.8,164.74
12/26/2011,164.32,167.5,164.22,166.57
